country,russia_sentiment
China,-0.053914209164653684
Denmark,-0.1554320435277467
Finland,-0.23645346602382175
Germany,-0.17771312667765135
India,-0.02257335148166774
Japan,-0.11808375569292565
Norway,-0.05564476369665933
South Korea,-0.1577463235075028
United Kingdom,-0.061826832414967864
United States,-0.03638397015396053
