event,event_year,data_file,n_calls,mean_topic_sentiment,mean_topic_exposure,sentiment_over_exposure
AI (2023),2023,ml_ai.csv,1839,0.004856957447820751,0.01570981567865892,0.3181487948522004
Brexit (2016),2016,brexit.csv,1881,-7.587186852574849e-4,0.00688713238712955,-0.1280072458397719
Covid (2020),2020,covid.csv,20299,-0.0037336698818264736,0.029699674471712602,-0.1381563066623001
Russia (2022),2022,russia.csv,5555,-0.0025451651655209783,0.011042164392266171,-0.2856452702272035
